"","start_bv_name","end_bv_name","bv_od_cb_index","bv_od_domain_comfort","bv_od_domain_safety","bv_od_domain_attractiveness","bv_od_domain_coherence","bv_od_mean_dist"
"1","Aldgate","Angel",1.79095694179737,0.419054902833897,0.328056254163492,0.422013249190413,0.62183253560957,4170.225
"2","Aldgate","Avondale",2.4839209420945,0.694645861485435,0.754134095187827,0.505918245853458,0.529222739567782,12410.6477272727
"3","Aldgate","Bank",1.65445278078225,0.559254146993506,0.414282919099913,0.0746496065000858,0.606266108188748,1290.52
"4","Aldgate","Barbican",1.4647846958995,0.457759143037276,0.281806211159657,0.169621506421497,0.55559783528107,1999.49038461538
"5","Aldgate","Battersea",2.3485019193046,0.528383542092303,0.676212940131251,0.477011257728605,0.666894179352445,9222.65833333333
"6","Aldgate","Battersea Park",2.30648443136473,0.505664149038571,0.669024014155317,0.403046226777003,0.72875004139384,7644.55681818182
"7","Aldgate","Bayswater | Paddington",2.47730759253635,0.678518854471982,0.828658303086106,0.462338137418009,0.507792297560255,9499.57236842105
"8","Aldgate","Bethnal Green",1.64660090334191,0.439440370441198,0.437845596688418,0.251248883864503,0.518066052347792,2967.1875
"9","Aldgate","Blackwall | Poplar",2.36975487559046,0.440033871619371,0.622011733294407,0.394139177372561,0.913570093304116,5468.84375
"10","Aldgate","Bloomsbury | Fitzrovia",1.71274042483804,0.445025792636586,0.477546254458783,0.174616724587941,0.615551653154731,4814.484375
"11","Aldgate","Borough | Bermondsey",1.45757630480377,0.461682325205038,0.383837612273221,0.224789286404066,0.387267080921441,2112.59615384615
"12","Aldgate","Bow | Old Ford",2.15209122029629,0.49119449041827,0.59782305955672,0.381879390697479,0.681194279623817,5136.90909090909
"13","Aldgate","Brixton",1.78514755810945,0.497723170204086,0.360933744180866,0.328533503545997,0.597957140178498,7638.54166666667
"14","Aldgate","Camden Town",1.58085851555794,0.41950329978254,0.3438376385076,0.285886360855986,0.531631216411818,6605.47115384615
"15","Aldgate","Canary Wharf",2.27360458729825,0.284576375744429,0.634331728694071,0.435801028697687,0.918895454162059,5160.55769230769
"16","Aldgate","Chelsea",2.04193495157598,0.548917454028291,0.729372062066574,0.124776611078526,0.638868824402586,8273.85
"17","Aldgate","Clapham",2.15480741776946,0.495623639958815,0.645723439774719,0.433905047599313,0.579555290436608,11057.5694444444
"18","Aldgate","Clerkenwell",1.58595101702885,0.405494636937568,0.338139267255262,0.267412272164927,0.574904840671095,3838.01666666667
"19","Aldgate","Covent Garden | Strand",1.97850373197296,0.570513225489788,0.630267572238178,0.0790177580687904,0.698705176176205,3469.66875
"20","Aldgate","Earl's Court",2.58594810717527,0.703002892226094,0.783054192592961,0.530820485610034,0.56907053674618,10406.7916666667
"21","Aldgate","Elephant & Castle | Walworth",2.22956817933036,0.551754371786128,0.570198799036274,0.394054549057608,0.713560459450346,3577.5
"22","Aldgate","Euston",1.63897990767191,0.442321859209698,0.433235242496156,0.217178439288264,0.546244366677791,5325.72321428571
"23","Aldgate","Finsbury | St Luke's",1.60669977915642,0.454436704279982,0.271773114827313,0.321937111324273,0.558552848724852,3002.10576923077
"24","Aldgate","Fulham",2.439175838278,0.611167407668438,0.735723556366114,0.525303046121163,0.566981828122284,12701.4583333333
"25","Aldgate","Haggerston",1.77455559718664,0.474964228099464,0.396778446275216,0.359981238365919,0.542831684446038,3439.9625
"26","Aldgate","Hammersmith",2.52022222339571,0.651606996199741,0.732369062559305,0.563103702224871,0.573142462411793,12767.9711538462
"27","Aldgate","Holborn",1.65333802331537,0.493850029758719,0.398852791597243,0.136634829604217,0.62400037235519,2972.025
"28","Aldgate","Hoxton",1.61623182075783,0.419112808258644,0.287080017913626,0.317502587947806,0.592536406637754,3034.74038461538
"29","Aldgate","Hyde Park",2.71213711734913,0.760441708555771,0.902497684328244,0.443593517279865,0.605604207185249,8324.675
"30","Aldgate","Kensington",2.61360210949069,0.749316973646967,0.830175001346677,0.436860553741286,0.597249580755761,9716.70833333333
"31","Aldgate","King's Cross",1.66867419201274,0.394522250652325,0.389705782946759,0.320297021051745,0.564149137361915,5130.97916666667
"32","Aldgate","Knightsbridge",2.47903548559809,0.700402637591805,0.854984698446005,0.324248926219925,0.599399223340356,7380.35833333333
"33","Aldgate","Limehouse",2.35302798294124,0.494230173452015,0.650646455535165,0.332415522177604,0.87573583177646,3842.609375
"34","Aldgate","Liverpool Street",1.24951993889204,0.437482296920516,0.255937009429872,0.153683188711577,0.402417443830075,1486.00943396226
"35","Aldgate","Marylebone",1.79447549174962,0.479442825999064,0.53606040153215,0.23053925026104,0.54843301395737,7255.66071428571
"36","Aldgate","Mayfair",2.10811970238052,0.594670998821142,0.691239151960629,0.228687204819274,0.593522346779474,6453.55357142857
"37","Aldgate","Mile End",2.14807560249785,0.505987022093368,0.636000771195084,0.304966871928625,0.701120937280776,4036.33333333333
"38","Aldgate","Millwall | Cubitt Town",2.31147435964295,0.436150651594697,0.596023804939757,0.469792195757731,0.809507707350765,6541.85
"39","Aldgate","Notting Hill | Ladbroke Grove",2.5847882584409,0.746815889070116,0.823484845534103,0.460450940902528,0.554036582934149,10466.2291666667
"40","Aldgate","Olympia",2.52729495004673,0.703506437216914,0.754876162940073,0.489402866776692,0.579509483113047,11058.65625
"41","Aldgate","Olympic Park",2.04547158694004,0.448105578097346,0.492868997146749,0.548061757361986,0.556435254333958,6914.67045454545
"42","Aldgate","Portobello",2.51792263032347,0.729708615321195,0.777751810818565,0.486914887361365,0.523547316822347,11436.6607142857
