system,ucl_id,operator_intid,operator_altid,operator_name,notes,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,updated_dt_nonzerobikes,operator_status,operator_installflag,operator_lockflag,operator_tempflag,geometry
london,29,29,29,"Hereford Road, Bayswater",NA,0,22,3,22,2011-06-29T15:40:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.193487, 51.513735)"
london,30,30,30,"Windsor Terrace, Hoxton",NA,17,24,3,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.093422, 51.529154)"
london,31,31,31,"Fanshaw Street, Hoxton",NA,12,34,2,36,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.083353, 51.529537)"
london,32,32,32,"Leonard Circus , Shoreditch",NA,17,21,39,43,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.084439, 51.524696)"
london,33,33,33,"Central House, Aldgate",NA,1,18,3,18,2016-05-11T16:16:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.070056, 51.5156)"
london,34,34,34,"Pancras Road, King's Cross",NA,3,16,2,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.129387, 51.534124)"
london,35,0,0,"St. George Street, Mayfair",Added from csv snapshot file s9_201008,15,18,15,18,2010-08-06T01:00:00Z,2010-08-06T01:00:00Z,2010-08-06 01:00:00,NA,1,0,0,"c(-0.142783, 51.51196)"
london,36,36,36,"De Vere Gardens, Kensington",NA,9,29,3,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.184981, 51.501737)"
london,37,37,37,"Penywern Road, Earl's Court",NA,5,17,6,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.192369, 51.491594)"
london,38,38,38,"Abingdon Villas, Kensington",NA,10,17,14,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.197246, 51.497388)"
london,39,39,39,"Shoreditch High Street, Shoreditch",NA,14,26,23,41,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.078131, 51.526378)"
london,40,40,40,"Commercial Street, Shoreditch",NA,3,16,7,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.075579, 51.521271)"
london,41,41,41,"Pindar Street, Liverpool Street",NA,0,24,21,24,2018-03-05T10:00:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.083494, 51.520955)"
london,42,42,42,"Wenlock Road , Hoxton",NA,5,28,3,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.093904, 51.530992)"
london,43,43,43,"Crawford Street, Marylebone",NA,11,18,3,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.157184, 51.52026)"
london,44,44,44,"Bruton Street, Mayfair",NA,18,21,17,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.144165, 51.510737)"
london,45,45,45,"Boston Place, Marylebone",NA,22,26,3,26,2015-01-12T21:14:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.162298, 51.522511)"
london,46,46,46,"Nesham Street, Wapping",NA,3,16,10,16,2011-06-29T15:40:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.06691, 51.507131)"
london,47,47,47,"Warwick Avenue Station, Maida Vale",NA,3,19,1,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.183846, 51.523345)"
london,48,48,48,"Godliman Street, St. Paul's",NA,11,25,17,25,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.099141, 51.512484)"
london,49,49,49,"Curzon Street, Mayfair",NA,15,16,6,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.145904, 51.507069)"
london,50,50,50,"East Road, Hoxton",NA,2,27,1,27,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.087459, 51.528673)"
london,51,51,51,"Finsbury Library , Finsbury",NA,11,29,12,29,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.104298, 51.526718)"
london,52,52,52,"Roscoe Street, St. Luke's",NA,5,18,2,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.094935, 51.522954)"
london,53,53,53,"Grafton Street, Mayfair",NA,8,18,12,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.143495, 51.509992)"
london,54,54,54,"Golden Lane, Barbican",NA,4,27,18,27,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.094475, 51.521748)"
london,55,55,55,"Finsbury Circus, Liverpool Street",NA,6,32,13,33,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.086686, 51.517075)"
london,56,56,56,"Paddington Street, Marylebone",NA,5,16,9,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.154701, 51.520584)"
london,57,57,57,"Guilford Street , Bloomsbury",NA,17,23,26,32,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.120203, 51.523347)"
london,58,58,58,"New Inn Yard, Shoreditch",NA,9,20,10,20,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.079248, 51.524527)"
london,59,59,59,"Rodney Street, Angel",NA,20,30,4,30,2010-08-06T01:00:00Z,2016-08-09T13:18:02Z,2016-08-09 13:18:02,NA,1,0,0,"c(-0.114329, 51.531768)"
london,60,60,60,"Lisson Grove, St. John's Wood",NA,7,18,2,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.172191, 51.526448)"
london,61,61,61,"Great Dover Street, Borough",NA,19,33,11,33,2010-08-06T01:00:00Z,2015-05-21T15:02:01Z,2015-05-21 15:02:01,NA,1,0,0,"c(-0.089447, 51.497383)"
london,62,62,62,"Cotton Garden Estate, Kennington",NA,6,24,2,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.106324, 51.490758)"
london,63,63,63,"Murray Grove , Hoxton",NA,18,27,1,27,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.089783, 51.53089)"
london,64,64,64,"William IV Street, Strand",NA,11,26,21,25,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.124749, 51.509462)"
london,65,65,65,"Gower Place , Euston",NA,1,17,0,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:20:02,NA,1,0,0,"c(-0.135189, 51.525228)"
london,66,66,66,"Holborn Circus, Holborn",NA,39,39,10,40,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.108657, 51.51795)"
london,67,67,67,"Hatton Garden, Holborn",NA,17,28,15,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.108028, 51.518826)"
london,68,68,68,"Theobald's Road , Holborn",NA,20,26,12,26,2015-05-21T14:48:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.116688, 51.520597)"
london,69,69,69,"Euston Road, Euston",NA,3,21,1,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.134408, 51.526236)"
london,70,70,70,"Calshot Street , King's Cross",NA,14,24,5,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.11707, 51.531361)"
london,71,71,71,"Newgate Street , St. Paul's",NA,25,34,11,34,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.098851, 51.515419)"
london,72,72,72,"Farringdon Lane, Clerkenwell",NA,5,16,3,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.10834, 51.52352)"
london,73,73,73,"Old Street Station, St. Luke's",NA,12,37,23,37,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.088486, 51.525726)"
london,74,74,74,"Vauxhall Cross, Vauxhall",NA,5,17,1,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.12447, 51.485917)"
london,75,75,75,"Torrens Street, Angel",NA,5,19,0,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:08:02,NA,1,0,0,"c(-0.105481, 51.5322)"
london,76,76,76,"Longford Street, Regent's Park",NA,6,16,8,21,2010-08-06T01:00:00Z,2015-05-21T14:46:02Z,2015-05-21 14:46:02,NA,1,0,0,"c(-0.144084, 51.525595)"
london,77,77,77,"Russell Square Station, Bloomsbury",NA,8,26,9,26,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.124122, 51.523418)"
london,78,78,78,"Sadlers Sports Centre, Finsbury",NA,3,17,6,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.099489, 51.524869)"
london,79001,0,0,"Wansey Street, Walworth",Added from csv snapshot file s4_201108,6,17,2,17,2010-08-06T01:00:00Z,2011-11-29T17:01:06Z,NULL,NA,1,0,0,"c(-0.097146, 51.491181)"
london,79002,79,79,"Arundel Street, Temple",NA,0,18,13,18,2018-03-05T08:32:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.113856, 51.511726)"
london,80,80,80,"Webber Street , Southwark",NA,11,24,3,45,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.102091, 51.500694)"
london,81,81,81,"Great Titchfield Street, Fitzrovia",NA,8,19,11,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.141327, 51.520253)"
london,82,82,82,"Chancery Lane, Holborn",NA,7,15,5,15,2011-06-29T15:40:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.111257, 51.514274)"
london,83,83,83,"Panton Street, West End",NA,14,21,16,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.131511, 51.509639)"
london,84,84,84,"Breams Buildings, Holborn",NA,21,24,18,25,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.111778, 51.515937)"
london,85,85,85,"Tanner Street, Bermondsey",NA,4,19,40,41,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.0786, 51.500647)"
london,86,86,86,Vauxhall*,NA,5,24,5,24,2015-02-13T18:02:36Z,2015-02-13T18:02:36Z,2015-02-13 18:02:36,NA,1,0,0,"c(-0.115157, 51.489479)"
london,87,87,87,"Devonshire Square, Liverpool Street",NA,9,16,3,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.079685, 51.516468)"
london,88,88,88,"Bayley Street , Bloomsbury",NA,24,25,17,25,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.132053, 51.518588)"
london,89,89,89,"Tavistock Place, Bloomsbury",NA,5,19,2,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.12351, 51.52625)"
london,90,90,90,"Harrington Square 1, Camden Town",NA,12,27,2,27,2015-05-21T14:46:02Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.139175, 51.533019)"
london,91,91,91,"Walnut Tree Walk, Vauxhall",NA,6,20,1,20,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.111015, 51.493686)"
london,92,0,0,"Borough Road, Elephant & Castle",Added from csv snapshot file s5_20110201,20,41,24,41,2010-08-06T01:00:00Z,2011-06-29T15:40:02Z,2011-02-01 00:00:00,NA,1,0,0,"c(-0.100441, 51.498898)"
london,93,93,93,"Cloudesley Road, Angel",NA,1,20,6,37,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.109025, 51.534409)"
london,94,94,94,"Bricklayers Arms, Borough",NA,13,28,0,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:20:02,NA,1,0,0,"c(-0.085814, 51.495061)"
london,95,95,95,"Aldersgate Street, Barbican",NA,8,15,0,15,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:12:02,NA,1,0,0,"c(-0.09734, 51.520842)"
london,96,96,96,"Falkirk Street, Hoxton",NA,7,26,15,26,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.078505, 51.530951)"
london,97,97,97,"Gloucester Road (North), Kensington",NA,11,16,8,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.183835, 51.497925)"
london,98,98,98,"Hampstead Road, Euston",NA,26,54,18,54,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.138231, 51.525542)"
london,99,99,99,"Old Quebec Street, Marylebone",NA,12,16,7,16,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.158264, 51.514578)"
london,100,100,100,"Albert Embankment, Vauxhall",NA,15,24,2,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.122807, 51.490436)"
london,101,101,101,"Queen Street 1, Bank",NA,17,22,16,22,2015-05-21T13:50:01Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.09294, 51.511553)"
london,102,102,102,"Jewry Street, Aldgate",NA,9,17,9,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.076793, 51.513407)"
london,103,103,103,"Vicarage Gate, Kensington",NA,5,18,2,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.192539, 51.504724)"
london,104,104,104,"Crosswall, Tower",NA,27,34,22,34,2010-10-08T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.077121, 51.511595)"
london,105,105,105,"Westbourne Grove, Bayswater",NA,7,26,17,26,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.190241, 51.51553)"
london,106,106,106,"Woodstock Street, Mayfair",NA,11,21,6,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.147302, 51.514105)"
london,107,107,107,"Finsbury Leisure Centre, St. Luke's",NA,2,20,6,20,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.096318, 51.526008)"
london,108,108,108,"Abbey Orchard Street, Westminster",NA,17,29,12,29,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.132102, 51.498126)"
london,109,109,109,"Soho Square , Soho",NA,29,37,30,57,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.132329, 51.515631)"
london,110,110,110,"Wellington Road, St. John's Wood",NA,2,17,5,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.172529, 51.533043)"
london,111,111,111,"Park Lane , Hyde Park",NA,22,28,27,28,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.157276, 51.510017)"
london,112,112,112,"Stonecutter Street, Holborn",NA,18,20,0,0,2010-08-06T01:00:00Z,2019-05-22T22:10:02Z,2019-05-22 20:34:01,NA,1,1,0,"c(-0.10527, 51.51581)"
london,113,113,113,"Gloucester Road (Central), South Kensington",NA,8,19,15,19,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.183289, 51.496463)"
